fid,username,reactions_received,total_casts,reaction_cast_ratio
476685,"<a href=""https://warpcast.com/billioncats"" target=""_blank"">billioncats</a>",1,27,0.037037037037037035
354081,"<a href=""https://warpcast.com/greenpeace99"" target=""_blank"">greenpeace99</a>",1,27,0.037037037037037035
255156,"<a href=""https://warpcast.com/slowly"" target=""_blank"">slowly</a>",1,27,0.037037037037037035
516277,"<a href=""https://warpcast.com/lovemom"" target=""_blank"">lovemom</a>",2,54,0.037037037037037035
261330,"<a href=""https://warpcast.com/cnwkjf"" target=""_blank"">cnwkjf</a>",40,1072,0.03731343283582089
507555,"<a href=""https://warpcast.com/matlanh1948"" target=""_blank"">matlanh1948</a>",31,830,0.03734939759036145
264780,"<a href=""https://warpcast.com/mmakiw"" target=""_blank"">mmakiw</a>",39,1038,0.03757225433526012
507064,"<a href=""https://warpcast.com/kimonpachu"" target=""_blank"">kimonpachu</a>",31,822,0.037712895377128956
485815,"<a href=""https://warpcast.com/memento-npc"" target=""_blank"">memento-npc</a>",7,184,0.03804347826086957
263871,"<a href=""https://warpcast.com/aaaaaaaavvvvvvv"" target=""_blank"">aaaaaaaavvvvvvv</a>",39,1021,0.03819784524975514
374189,"<a href=""https://warpcast.com/highlight-bot"" target=""_blank"">highlight-bot</a>",143,3743,0.03820464867753139
526467,"<a href=""https://warpcast.com/web3verse"" target=""_blank"">web3verse</a>",1,26,0.038461538461538464
542835,"<a href=""https://warpcast.com/altheax"" target=""_blank"">altheax</a>",1,26,0.038461538461538464
533077,"<a href=""https://warpcast.com/pradeep98717"" target=""_blank"">pradeep98717</a>",1,26,0.038461538461538464
542919,"<a href=""https://warpcast.com/amrasis"" target=""_blank"">amrasis</a>",1,26,0.038461538461538464
581528,"<a href=""https://warpcast.com/henlun"" target=""_blank"">henlun</a>",1,26,0.038461538461538464
193548,"<a href=""https://warpcast.com/rikasun"" target=""_blank"">rikasun</a>",1,26,0.038461538461538464
307799,"<a href=""https://warpcast.com/peppy69"" target=""_blank"">peppy69</a>",1,26,0.038461538461538464
271917,"<a href=""https://warpcast.com/paooooo"" target=""_blank"">paooooo</a>",36,936,0.038461538461538464
430270,"<a href=""https://warpcast.com/rdvann33"" target=""_blank"">rdvann33</a>",1,26,0.038461538461538464
556319,"<a href=""https://warpcast.com/s78098"" target=""_blank"">s78098</a>",1,26,0.038461538461538464
489304,"<a href=""https://warpcast.com/drxenpolygon"" target=""_blank"">drxenpolygon</a>",1,26,0.038461538461538464
242652,"<a href=""https://warpcast.com/yekeen421"" target=""_blank"">yekeen421</a>",2,52,0.038461538461538464
378163,"<a href=""https://warpcast.com/metador"" target=""_blank"">metador</a>",1,26,0.038461538461538464
546344,"<a href=""https://warpcast.com/elaradr"" target=""_blank"">elaradr</a>",1,26,0.038461538461538464
440201,"<a href=""https://warpcast.com/kangjahir"" target=""_blank"">kangjahir</a>",7,181,0.03867403314917127
267287,"<a href=""https://warpcast.com/makakaiks"" target=""_blank"">makakaiks</a>",35,903,0.03875968992248062
267506,"<a href=""https://warpcast.com/mmmm1993"" target=""_blank"">mmmm1993</a>",35,903,0.03875968992248062
553132,"<a href=""https://warpcast.com/catfacts"" target=""_blank"">catfacts</a>",4,103,0.038834951456310676
563769,"<a href=""https://warpcast.com/imranmeo"" target=""_blank"">imranmeo</a>",6,154,0.03896103896103896
507524,"<a href=""https://warpcast.com/namchin33"" target=""_blank"">namchin33</a>",33,845,0.03905325443786982
261304,"<a href=""https://warpcast.com/mooioooi"" target=""_blank"">mooioooi</a>",41,1046,0.03919694072657744
479119,"<a href=""https://warpcast.com/salam522"" target=""_blank"">salam522</a>",4,102,0.0392156862745098
264686,"<a href=""https://warpcast.com/lokakakpa"" target=""_blank"">lokakakpa</a>",40,1017,0.03933136676499508
355205,"<a href=""https://warpcast.com/northern-bank"" target=""_blank"">northern-bank</a>",94,2366,0.039729501267962805
300301,"<a href=""https://warpcast.com/hd855"" target=""_blank"">hd855</a>",1,25,0.04
521438,"<a href=""https://warpcast.com/airdroparena"" target=""_blank"">airdroparena</a>",1,25,0.04
540972,"<a href=""https://warpcast.com/johni"" target=""_blank"">johni</a>",1,25,0.04
301545,"<a href=""https://warpcast.com/satargaming"" target=""_blank"">satargaming</a>",1,25,0.04
546027,"<a href=""https://warpcast.com/icaruser"" target=""_blank"">icaruser</a>",1,25,0.04
359406,"<a href=""https://warpcast.com/netflixasiaku"" target=""_blank"">netflixasiaku</a>",1,25,0.04
359463,"<a href=""https://warpcast.com/kikivitacute"" target=""_blank"">kikivitacute</a>",1,25,0.04
530053,"<a href=""https://warpcast.com/anil123"" target=""_blank"">anil123</a>",1,25,0.04
582863,"<a href=""https://warpcast.com/brionbase"" target=""_blank"">brionbase</a>",1,25,0.04
517059,"<a href=""https://warpcast.com/bilalm"" target=""_blank"">bilalm</a>",4,100,0.04
360252,"<a href=""https://warpcast.com/airdrophunter9"" target=""_blank"">airdrophunter9</a>",1,25,0.04
359568,"<a href=""https://warpcast.com/erlinanagata"" target=""_blank"">erlinanagata</a>",1,25,0.04
561886,"<a href=""https://warpcast.com/lysdexic"" target=""_blank"">lysdexic</a>",1,25,0.04
573812,"<a href=""https://warpcast.com/imsmart"" target=""_blank"">imsmart</a>",1,25,0.04
365025,"<a href=""https://warpcast.com/giftomonreey"" target=""_blank"">giftomonreey</a>",1,25,0.04
542856,"<a href=""https://warpcast.com/peregrinegfh"" target=""_blank"">peregrinegfh</a>",1,25,0.04
365036,"<a href=""https://warpcast.com/apakabarz"" target=""_blank"">apakabarz</a>",1,25,0.04
384935,"<a href=""https://warpcast.com/dowlib"" target=""_blank"">dowlib</a>",1,25,0.04
263820,"<a href=""https://warpcast.com/namakkoe"" target=""_blank"">namakkoe</a>",41,1021,0.040156709108716944
513522,"<a href=""https://warpcast.com/tinhca"" target=""_blank"">tinhca</a>",9,224,0.04017857142857143
544084,"<a href=""https://warpcast.com/thor-asgard"" target=""_blank"">thor-asgard</a>",10,248,0.04032258064516129
506860,"<a href=""https://warpcast.com/fashionista"" target=""_blank"">fashionista</a>",7,173,0.04046242774566474
506942,"<a href=""https://warpcast.com/koparte"" target=""_blank"">koparte</a>",7,172,0.040697674418604654
500615,"<a href=""https://warpcast.com/brosky"" target=""_blank"">brosky</a>",7,172,0.040697674418604654
514857,"<a href=""https://warpcast.com/qyuin"" target=""_blank"">qyuin</a>",4,98,0.04081632653061224
521112,"<a href=""https://warpcast.com/somarani"" target=""_blank"">somarani</a>",2,49,0.04081632653061224
552403,"<a href=""https://warpcast.com/madett"" target=""_blank"">madett</a>",2,49,0.04081632653061224
511289,"<a href=""https://warpcast.com/rodrig"" target=""_blank"">rodrig</a>",2,49,0.04081632653061224
536459,"<a href=""https://warpcast.com/iluvmymom420"" target=""_blank"">iluvmymom420</a>",3,73,0.0410958904109589
261227,"<a href=""https://warpcast.com/vmxnxjajje"" target=""_blank"">vmxnxjajje</a>",44,1065,0.04131455399061033
263951,"<a href=""https://warpcast.com/ooooooo0000oooo"" target=""_blank"">ooooooo0000oooo</a>",44,1060,0.04150943396226415
261186,"<a href=""https://warpcast.com/maoqiur"" target=""_blank"">maoqiur</a>",44,1057,0.041627246925260174
365047,"<a href=""https://warpcast.com/kucingmiaw1"" target=""_blank"">kucingmiaw1</a>",1,24,0.041666666666666664
494021,"<a href=""https://warpcast.com/jongirlah"" target=""_blank"">jongirlah</a>",1,24,0.041666666666666664
494160,"<a href=""https://warpcast.com/toystory"" target=""_blank"">toystory</a>",1,24,0.041666666666666664
569131,"<a href=""https://warpcast.com/69527"" target=""_blank"">69527</a>",1,24,0.041666666666666664
365080,"<a href=""https://warpcast.com/dablo"" target=""_blank"">dablo</a>",1,24,0.041666666666666664
494174,"<a href=""https://warpcast.com/algol"" target=""_blank"">algol</a>",1,24,0.041666666666666664
365119,"<a href=""https://warpcast.com/farmingme"" target=""_blank"">farmingme</a>",1,24,0.041666666666666664
543377,"<a href=""https://warpcast.com/odbnnra"" target=""_blank"">odbnnra</a>",1,24,0.041666666666666664
494173,"<a href=""https://warpcast.com/opulent"" target=""_blank"">opulent</a>",1,24,0.041666666666666664
582248,"<a href=""https://warpcast.com/irene24"" target=""_blank"">irene24</a>",1,24,0.041666666666666664
365037,"<a href=""https://warpcast.com/hd369"" target=""_blank"">hd369</a>",1,24,0.041666666666666664
365065,"<a href=""https://warpcast.com/davidmckenziezz0"" target=""_blank"">davidmckenziezz0</a>",1,24,0.041666666666666664
546687,"<a href=""https://warpcast.com/nakrlfn"" target=""_blank"">nakrlfn</a>",1,24,0.041666666666666664
365046,"<a href=""https://warpcast.com/kucingmiawmiawku"" target=""_blank"">kucingmiawmiawku</a>",1,24,0.041666666666666664
475427,"<a href=""https://warpcast.com/mybro"" target=""_blank"">mybro</a>",1,24,0.041666666666666664
365082,"<a href=""https://warpcast.com/wenlamvo"" target=""_blank"">wenlamvo</a>",1,24,0.041666666666666664
365079,"<a href=""https://warpcast.com/eland"" target=""_blank"">eland</a>",1,24,0.041666666666666664
463998,"<a href=""https://warpcast.com/dirzo"" target=""_blank"">dirzo</a>",1,24,0.041666666666666664
365083,"<a href=""https://warpcast.com/lambow"" target=""_blank"">lambow</a>",1,24,0.041666666666666664
511951,"<a href=""https://warpcast.com/nehasharma"" target=""_blank"">nehasharma</a>",1,24,0.041666666666666664
