fid,username,reactions_received,total_casts,reaction_cast_ratio
507016,"<a href=""https://warpcast.com/polay"" target=""_blank"">polay</a>",25,845,0.029585798816568046
504497,"<a href=""https://warpcast.com/orasia"" target=""_blank"">orasia</a>",5,169,0.029585798816568046
507469,"<a href=""https://warpcast.com/danhkonoi"" target=""_blank"">danhkonoi</a>",25,841,0.029726516052318668
507413,"<a href=""https://warpcast.com/dandao019"" target=""_blank"">dandao019</a>",25,839,0.029797377830750895
504482,"<a href=""https://warpcast.com/kolkerder"" target=""_blank"">kolkerder</a>",5,167,0.029940119760479042
507050,"<a href=""https://warpcast.com/kanggaru99"" target=""_blank"">kanggaru99</a>",24,800,0.03
252114,"<a href=""https://warpcast.com/akwicjd"" target=""_blank"">akwicjd</a>",14,465,0.030107526881720432
446927,"<a href=""https://warpcast.com/stmanda"" target=""_blank"">stmanda</a>",1,33,0.030303030303030304
513328,"<a href=""https://warpcast.com/soul786"" target=""_blank"">soul786</a>",1,33,0.030303030303030304
524679,"<a href=""https://warpcast.com/shabrin6627"" target=""_blank"">shabrin6627</a>",4,132,0.030303030303030304
535549,"<a href=""https://warpcast.com/meownot"" target=""_blank"">meownot</a>",1,33,0.030303030303030304
444830,"<a href=""https://warpcast.com/mepa"" target=""_blank"">mepa</a>",4,132,0.030303030303030304
539808,"<a href=""https://warpcast.com/da9485"" target=""_blank"">da9485</a>",1,33,0.030303030303030304
264730,"<a href=""https://warpcast.com/palowoodj"" target=""_blank"">palowoodj</a>",31,1022,0.030332681017612523
507104,"<a href=""https://warpcast.com/kapalaam"" target=""_blank"">kapalaam</a>",25,822,0.030413625304136254
264820,"<a href=""https://warpcast.com/lochi"" target=""_blank"">lochi</a>",33,1073,0.03075489282385834
389267,"<a href=""https://warpcast.com/givebot"" target=""_blank"">givebot</a>",8,258,0.031007751937984496
507430,"<a href=""https://warpcast.com/bontaolao"" target=""_blank"">bontaolao</a>",27,868,0.03110599078341014
525621,"<a href=""https://warpcast.com/ragibrahman"" target=""_blank"">ragibrahman</a>",1,32,0.03125
447358,"<a href=""https://warpcast.com/gogoxingxing"" target=""_blank"">gogoxingxing</a>",1,32,0.03125
421934,"<a href=""https://warpcast.com/nwachukwu"" target=""_blank"">nwachukwu</a>",1,32,0.03125
511190,"<a href=""https://warpcast.com/enforcer"" target=""_blank"">enforcer</a>",1,32,0.03125
446896,"<a href=""https://warpcast.com/betramm"" target=""_blank"">betramm</a>",7,224,0.03125
267458,"<a href=""https://warpcast.com/moowowow"" target=""_blank"">moowowow</a>",30,957,0.03134796238244514
261078,"<a href=""https://warpcast.com/cnabdjejiwu"" target=""_blank"">cnabdjejiwu</a>",34,1078,0.03153988868274583
508103,"<a href=""https://warpcast.com/coamtuai"" target=""_blank"">coamtuai</a>",26,816,0.031862745098039214
485815,"<a href=""https://warpcast.com/memento-npc"" target=""_blank"">memento-npc</a>",6,187,0.03208556149732621
447039,"<a href=""https://warpcast.com/hienhuynh"" target=""_blank"">hienhuynh</a>",9,280,0.03214285714285714
444870,"<a href=""https://warpcast.com/ezoz"" target=""_blank"">ezoz</a>",4,124,0.03225806451612903
258292,"<a href=""https://warpcast.com/wiwitsetiadi"" target=""_blank"">wiwitsetiadi</a>",1,31,0.03225806451612903
